war_name,start_year,end_year,duration,is_censored,pre_ww1,pre_ww2,europe,east_asia,southeast_asia,middle_east,africa,north_america,south_america,central_asia,south_asia
"나폴레옹 전쟁",1803,1815,12,0,1,1,1,0,0,0,0,0,0,0,0
"남아메리카 독립전쟁",1808,1829,21,0,1,1,0,0,0,0,0,0,1,0,0
"미영 전쟁",1812,1814,2,0,1,1,0,0,0,0,0,1,0,0,0
"그리스 독립전쟁",1821,1827,6,0,1,1,1,0,0,0,0,0,0,0,0
"아르헨티나-브라질 전쟁",1825,1828,3,0,1,1,0,0,0,0,0,0,1,0,0
"아편 전쟁",1839,1842,3,0,1,1,0,1,0,0,0,0,0,0,0
"제1차 영국-아프가니스탄 전쟁",1839,1842,3,0,1,1,0,0,0,0,0,0,0,1,1
"크림 전쟁",1854,1854,1,0,1,1,1,0,0,0,0,0,0,0,0
"미국 남북 전쟁",1861,1865,4,0,1,1,0,0,0,0,0,1,0,0,0
"삼국 동맹 전쟁",1865,1870,5,0,1,1,0,0,0,0,1,0,1,0,0
"프로이센-오스트리아 전쟁",1866,1866,1,0,1,1,1,0,0,0,0,0,0,0,0
"프로이센-프랑스 전쟁",1870,1871,1,0,1,1,1,0,0,0,0,0,0,0,0
"제2차 영국-아프가니스탄 전쟁",1878,1880,2,0,1,1,0,0,0,0,0,0,0,1,1
"태평양 전쟁",1879,1883,4,0,1,1,0,0,0,0,0,0,1,0,0
"청일 전쟁",1894,1895,1,0,1,1,0,1,0,0,0,0,0,0,0
"미국-에스파냐 전쟁",1898,1899,1,0,1,1,0,0,1,0,0,1,0,0,0
"영국-애로연합 전쟁",1901,1902,1,0,1,1,0,0,0,0,1,0,0,0,0
"제1차 사우디-라쉬디 전쟁",1902,1905,3,0,1,1,0,0,0,1,0,0,0,0,0
"러일 전쟁",1904,1905,1,0,1,1,0,1,0,0,0,0,0,0,0
"블랙 패치 전쟁",1904,1909,5,0,1,1,0,0,0,0,1,0,0,0,0
"돼지 전쟁",1906,1909,3,0,1,1,0,0,0,0,0,0,1,0,0
"루마니아 농민 반란",1907,1907,1,0,1,1,1,0,0,0,0,0,0,0,0
"모로코 전쟁",1908,1909,1,0,1,1,0,0,0,0,1,0,0,0,0
"페르시아 내전",1908,1909,1,0,1,1,0,0,0,1,0,0,0,0,0
"2차 리프 전쟁",1909,1910,1,0,1,1,0,0,0,0,1,0,0,0,0
"니카라과 내전",1909,1911,2,0,1,1,0,0,0,0,0,1,0,0,0
"와다이 전쟁",1909,1911,2,0,1,1,0,0,0,0,1,0,0,0,0
"멕시코 혁명",1910,1921,11,0,1,1,0,0,0,0,0,1,0,0,0
"러시아-페르시아 전쟁",1911,1911,1,0,1,1,1,0,0,1,0,0,0,0,0
"2차 프랑스-모로코 전쟁",1911,1912,1,0,1,1,0,0,0,0,1,0,0,0,0
"이탈리아-투르크 전쟁",1911,1912,1,0,1,1,1,0,0,1,0,0,0,0,0
"멕시코 내전",1911,1914,3,0,1,1,0,0,0,0,0,1,0,0,0
"제1차 발칸 전쟁",1912,1913,1,0,1,1,1,0,0,0,0,0,0,0,0
"콘테스타도 전쟁",1912,1916,4,0,1,1,0,0,0,0,0,0,1,0,0
"제2차 발칸 전쟁",1913,1913,1,0,1,1,1,0,0,0,0,0,0,0,0
"제1차 세계대전",1914,1918,4,0,0,1,1,0,0,1,1,0,0,0,0
"미국의 아이티 점령",1915,1934,19,0,0,1,0,0,0,0,0,1,0,0,0
"러시아 적백 내전",1917,1922,5,0,0,1,1,0,0,0,0,0,0,0,0
"핀란드 내전",1918,1918,1,0,0,1,1,0,0,0,0,0,0,0,0
"조지아-아르메니아 전쟁",1918,1918,1,0,0,1,1,0,0,0,0,0,0,1,0
"독일 11월 혁명",1918,1919,1,0,0,1,1,0,0,0,0,0,0,0,0
"대폴란드 봉기",1918,1920,2,0,0,1,1,0,0,0,0,0,0,0,0
"폴란드-우크라이나 전쟁",1918,1919,1,0,0,1,1,0,0,0,0,0,0,0,0
"조지아-오세티야 충돌",1918,1920,2,0,0,1,1,0,0,0,0,0,0,1,0
"아르메니아-아제르바이잔 전쟁",1918,1920,2,0,0,1,0,0,0,0,0,0,0,1,0
"에스토니아 독립 전쟁",1918,1920,2,0,0,1,1,0,0,0,0,0,0,0,0
"라트비아 독립 전쟁",1918,1920,2,0,0,1,1,0,0,0,0,0,0,0,0
"리투아니아 독립 전쟁",1918,1920,2,0,0,1,1,0,0,0,0,0,0,0,0
"폴란드-체코슬로바키아 국경 분쟁",1919,1919,1,0,0,1,1,0,0,0,0,0,0,0,0
"헝가리-루마니아 전쟁",1919,1919,1,0,0,1,1,0,0,0,0,0,0,0,0
"터키 독립 전쟁",1919,1919,1,0,0,1,1,0,0,1,0,0,0,0,0
"제3차 영국-아프가니스탄 전쟁",1919,1919,1,0,0,1,0,0,0,0,0,0,0,1,1
"포르투갈 왕당파 내전",1919,1919,1,0,0,1,1,0,0,0,0,0,0,0,0
"이탈리아-유고슬라비아 전쟁",1919,1920,1,0,0,1,1,0,0,0,0,0,0,0,0
"폴란드-소련 전쟁",1919,1920,1,0,0,1,1,0,0,0,0,0,0,0,0
"체코슬로바키아-헝가리 전쟁",1919,1920,1,0,0,1,1,0,0,0,0,0,0,0,0
"이란 독립 전쟁",1919,1921,2,0,0,1,0,0,0,1,0,0,0,0,0
"그리스-터키 전쟁",1919,1922,3,0,0,1,1,0,0,1,0,0,0,0,0
"3차 리프 전쟁",1919,1926,7,0,0,1,0,0,0,0,1,0,0,0,0
"폴란드-리투아니아 전쟁",1920,1920,1,0,0,1,1,0,0,0,0,0,0,0,0
"2차 실레지아 봉기",1920,1920,1,0,0,1,1,0,0,0,0,0,0,0,0
"터키-아르메니아 전쟁",1920,1920,1,0,0,1,0,0,0,1,0,0,0,1,0
"국공 내전",1927,1937,10,0,0,1,0,1,0,0,0,0,0,0,0
"아프가니스탄 내전",1929,1929,1,0,0,1,0,0,0,0,0,0,0,1,0
"소련-중국 전쟁",1929,1929,1,0,0,1,1,1,0,0,0,0,0,0,0
"만주사변",1931,1931,1,0,0,1,0,1,0,0,0,0,0,0,0
"에콰도르 내전",1932,1932,1,0,0,1,0,0,0,0,0,0,1,0,0
"상하이 사변",1932,1932,1,0,0,1,0,1,0,0,0,0,0,0,0
"차코 전쟁",1932,1935,3,0,0,1,0,0,0,0,0,0,1,0,0
"콜롬비아-페루 전쟁",1932,1933,1,0,0,1,0,0,0,0,0,0,1,0,0
"사우디아라비아-예멘 전쟁",1934,1934,1,0,0,1,0,0,0,1,0,0,0,0,0
"오스트리아 내전",1934,1934,1,0,0,1,1,0,0,0,0,0,0,0,0
"제2차 이탈리아-에티오피아 전쟁",1935,1936,1,0,0,1,0,0,0,0,1,0,0,0,0
"에스파냐 내전",1936,1938,2,0,0,1,1,0,0,0,0,0,0,0,0
"중일 전쟁",1937,1945,8,0,0,1,0,1,0,0,0,0,0,0,0
"제2차 세계대전",1939,1945,6,0,0,1,1,1,1,1,1,1,0,0,1
